w0 w1 height_keep balance_keep mimic_q mimic_dq cmd_linear cmd_angular torque torque_d contact terminal 
0 0.59 9191.64 7905.97 461.119 1257.47 149.821 6398.73 9854.13 9697.62 5137.48 0 
0 0.6 9203.71 7753.66 433.259 1257.16 152.061 6412.31 9852.3 9725.16 4990.89 0 
0 0.61 9219.02 7583.88 405.117 1256.88 154.294 6426.38 9848.22 9750.87 4804.3 0 
0 0.62 9237.95 7390.2 376.97 1257.04 156.681 6436.66 9842.36 9776.63 4579.69 0 
0 0.63 9259.01 7162.85 349.007 1257.24 159.192 6444.71 9835.35 9806.17 4307.9 0 
0 0.64 9281.66 6853.92 321.728 1257.92 161.65 6464.37 9826.08 9832.54 4090.43 0 
0 0.65 9309.25 6470.4 295.089 1259.63 164.195 6465.27 9812.77 9853.83 3912.46 0 
0 0.66 9342.64 5987.63 269.441 1262.65 166.883 6391.4 9792.24 9881.5 3708.51 0 
0 0.67 9354.48 5156.9 247.861 1261.67 169.434 6420.85 9766.06 9873.46 3287.37 0 
0 0.68 9394.93 2727.35 228.832 1256.94 172.392 6130.67 9669.65 9837.63 2348.43 0 
0 0.69 9452.72 2369.29 204.198 1256.42 175.646 6308.4 9654.87 9836.69 2229.98 0 
0 0.7 9513.64 2323.43 179.74 1259.62 178.915 6366.77 9654.46 9847.04 2061.54 0 
0 0.71 9573.22 2466.08 155.075 1260.41 182.339 6358.88 9667.27 9870.94 1918.2 0 
0 0.72 9629.89 2559.45 133.297 1262.45 185.634 6453.09 9675.36 9878.29 1801.47 0 
0 0.73 9683.23 2661.59 113.805 1264.01 188.844 6603.22 9683.09 9882.11 1706.67 0 
0 0.74 9733.83 2716.64 96.4865 1264.4 191.967 6724.72 9687.37 9885.92 1598.77 0 
0 0.75 9777.1 2670.24 81.7719 1264.15 194.72 6770.23 9686.62 9889.97 1501.35 0 
0 0.76 9815.75 2559.67 69.2464 1260.87 197.359 6741.18 9681.74 9893.18 1441.32 0 
0 0.77 9851.62 2451.16 58.4693 1257.66 200.087 6677.19 9674.31 9896.15 1412.23 0 
