w0 w1 height_keep balance_keep mimic_q mimic_dq cmd_linear cmd_angular torque torque_d contact terminal 
0 0.6 9203.71 7753.66 433.259 1257.16 152.061 6412.31 9852.3 9725.16 4990.89 0 
0 0.61 9219.02 7583.88 405.117 1256.88 154.294 6426.38 9848.22 9750.87 4804.3 0 
0 0.62 9237.95 7390.2 376.97 1257.04 156.681 6436.66 9842.36 9776.63 4579.69 0 
0 0.63 9259.01 7162.85 349.007 1257.24 159.192 6444.71 9835.35 9806.17 4307.9 0 
0 0.64 9281.66 6853.92 321.728 1257.92 161.65 6464.37 9826.08 9832.54 4090.43 0 
0 0.65 9309.25 6470.4 295.089 1259.63 164.195 6465.27 9812.77 9853.83 3912.46 0 
0 0.66 9342.64 5987.63 269.441 1262.65 166.883 6391.4 9792.24 9881.5 3708.51 0 
0 0.67 9354.48 5156.9 247.861 1261.67 169.434 6420.85 9766.06 9873.46 3287.37 0 
0 0.68 9394.93 2727.35 228.832 1256.94 172.392 6130.67 9669.65 9837.63 2348.43 0 
0 0.69 9452.72 2369.29 204.198 1256.42 175.646 6308.4 9654.87 9836.69 2229.98 0 
0 0.7 9513.64 2323.43 179.74 1259.62 178.915 6366.77 9654.46 9847.04 2061.54 0 
0 0.71 9573.22 2466.08 155.075 1260.41 182.339 6358.88 9667.27 9870.94 1918.2 0 
0 0.72 9629.89 2559.45 133.297 1262.45 185.634 6453.09 9675.36 9878.29 1801.47 0 
0 0.73 9683.23 2661.59 113.805 1264.01 188.844 6603.22 9683.09 9882.11 1706.67 0 
0 0.74 9733.83 2716.64 96.4865 1264.4 191.967 6724.72 9687.37 9885.92 1598.77 0 
0 0.75 9777.1 2670.24 81.7719 1264.15 194.72 6770.23 9686.62 9889.97 1501.35 0 
0 0.76 9815.75 2559.67 69.2464 1260.87 197.359 6741.18 9681.74 9893.18 1441.32 0 
0 0.77 9851.62 2451.16 58.4693 1257.66 200.087 6677.19 9674.31 9896.15 1412.23 0 
0 0.78 9882.09 2440.73 49.2198 1254.52 202.808 6634.3 9669.21 9897.59 1398.79 0 
0 0.79 9905.35 3247.27 40.8642 1250.55 205.424 7168.8 9694.86 9893.29 1425.86 0 
0 0.8 9904.92 3639.61 34.605 1248.42 208.062 7668.02 9689.27 9882.54 1464.02 0 
0 0.81 9871.01 3491.15 29.6813 1248.13 210.288 7365.04 9674.23 9888.42 1308.92 0 
0 0.82 9798.67 3326.53 25.9381 1249.46 212.485 6892.58 9655.58 9878.23 1054.77 0 
0 0.83 9678.22 2894.58 23.1259 1247.37 214.138 6471.61 9630.96 9838.13 837.38 0 
0 0.839999 9617.76 4783.51 21.1773 967.192 225.519 5529.11 9212.69 5059.05 427.08 0 
0 0.849999 9465.88 5184.09 19.6703 912.707 235.919 5603.82 9150.16 4515.35 406.107 0 
0 0.859999 9273.83 5405.3 18.3974 879.988 248.07 5771.07 9107.57 4192.51 368.623 0 
0 0.869999 9043.47 5604.21 17.3262 848.118 262.975 5975.14 9072.72 3958.9 326.043 0 
0 0.879999 8767.22 5846.89 16.3902 826.444 281.953 6223.03 9046.69 3844.83 297.784 0 
0 0.889999 8441.24 6099.63 15.5494 804.125 306.365 6499.36 9025.34 3769.59 289.865 0 
0 0.899999 8073.59 6307.99 14.7847 797.115 339.202 6769.92 9007.11 3710.48 268.738 0 
0 0.909999 7669.94 6656.16 14.0984 765.244 384.336 7034.31 8993.08 3595.87 215.159 0 
0 0.919999 7247.3 7105.37 13.5726 724.59 506.788 7550.01 8979.48 3417.08 173.464 0 
0 0.929999 6817.84 7442.56 13.0926 731.553 621.839 7891.75 8976.67 3433.58 168.92 0 
0 0.939999 6438.62 7801.16 12.5987 722.97 746.082 8182.56 8977.77 3500.16 172.254 0 
0 0.949999 6131.31 8299.42 12.1563 685.511 896.542 8483.47 8981.74 3588.65 177.64 0 
0 0.959999 5871.01 8787.42 11.7536 691.48 1058.19 8835.95 8990.9 3695.34 183.177 0 
0 0.969999 5653.39 9084.71 11.3585 668.781 1208.25 9133.22 9003.42 3785.71 186.318 0 
0 0.979999 5482.59 9049.18 10.9712 674.305 1316.71 9285.51 9009.99 3863.67 187.135 0 
