x z pitch q0 q1 q2 q3 q4 q5 q6 q7 q8 q9 q10 q11 dq0 dq1 dq2 dq3 dq4 dq5 dq6 dq7 dq8 dq9 dq10 dq11 roll 
0.00297713 0.28 0 0 -1.12076 2.16314 0 -0.876494 1.7097 0 -0.876494 1.7097 0 -1.12076 2.16314 0 -1.66569 4.52085 0 -0.581882 0.00187278 0 -0.581882 0.00187278 0 -1.66569 4.52085 0 
0.00322415 0.28 0 0 -1.12065 2.16619 0 -0.877765 1.7097 0 -0.877765 1.7097 0 -1.12065 2.16619 0 0.0545328 1.52642 0 -0.635547 0.000702598 0 -0.635547 0.000702598 0 0.0545328 1.52642 0 
0.00348093 0.28 0 0 -1.11707 2.16314 0 -0.879139 1.7097 0 -0.879139 1.7097 0 -1.11707 2.16314 0 1.79189 -1.52657 0 -0.686995 -0.000822935 0 -0.686995 -0.000822935 0 1.79189 -1.52657 0 
0.00374744 0.28 0 0 -1.11012 2.15409 0 -0.880611 1.7097 0 -0.880611 1.7097 0 -1.11012 2.15409 0 3.4755 -4.52184 0 -0.735887 -0.00271201 0 -0.735887 -0.00271201 0 3.4755 -4.52184 0 
0.0040237 0.28 0 0 -1.10004 2.1394 0 -0.882175 1.70969 0 -0.882175 1.70969 0 -1.10004 2.1394 0 5.03929 -7.3466 0 -0.781889 -0.00496461 0 -0.781889 -0.00496461 0 5.03929 -7.3466 0 
0.00430967 0.28 0 0 -1.08719 2.1196 0 -0.883824 1.70967 0 -0.883824 1.70967 0 -1.08719 2.1196 0 6.42669 -9.89816 0 -0.824671 -0.00757193 0 -0.824671 -0.00757193 0 6.42669 -9.89816 0 
0.00460536 0.28 0 0 -1.072 2.09542 0 -0.885552 1.70965 0 -0.885552 1.70965 0 -1.072 2.09542 0 7.5937 -12.0898 0 -0.863908 -0.0105158 0 -0.863908 -0.0105158 0 7.5937 -12.0898 0 
0.00491076 0.28 0 0 -1.05498 2.06771 0 -0.88735 1.70962 0 -0.88735 1.70962 0 -1.05498 2.06771 0 8.51051 -13.8555 0 -0.899284 -0.0137684 0 -0.899284 -0.0137684 0 8.51051 -13.8555 0 
0.00522585 0.28 0 0 -1.03665 2.03741 0 -0.889211 1.70959 0 -0.889211 1.70959 0 -1.03665 2.03741 0 9.16163 -15.1525 0 -0.930487 -0.0172917 0 -0.930487 -0.0172917 0 9.16163 -15.1525 0 
0.00555062 0.28 0 0 -1.01756 2.00548 0 -0.891126 1.70955 0 -0.891126 1.70955 0 -1.01756 2.00548 0 9.54517 -15.9632 0 -0.957211 -0.0210378 0 -0.957211 -0.0210378 0 9.54517 -15.9632 0 
0.00588507 0.28 0 0 -0.998221 1.97289 0 -0.893084 1.7095 0 -0.893084 1.7095 0 -0.998221 1.97289 0 9.67153 -16.2945 0 -0.979159 -0.0249488 0 -0.979159 -0.0249488 0 9.67153 -16.2945 0 
0.00622919 0.28 0 -5.31026e-17 -0.979098 1.94054 0 -0.895076 1.70944 0 -0.895076 1.70944 5.31026e-17 -0.979098 1.94054 -2.65513e-14 9.56167 -16.176 0 -0.996036 -0.0289569 0 -0.996036 -0.0289569 2.65513e-14 9.56167 -16.176 0 
0.00658296 0.28 0 0 -0.960608 1.90922 0 -0.897091 1.70937 0 -0.897091 1.70937 0 -0.960608 1.90922 2.65513e-14 9.24512 -15.6572 0 -1.00756 -0.0329848 0 -1.00756 -0.0329848 -2.65513e-14 9.24512 -15.6572 0 
